Hotel Name,Review,Number of Reviews,Review Score,City
Collins House Apartments by CLLIX,8.9,"1,375 reviews",8.9,"Melbourne CBD, Melbourne"
The Prince,Fabulous,621 reviews,8.4,Show on map
Treasury on Collins,8.4,531 reviews,9.3,"St Kilda, Melbourne"
Adina Apartment Hotel Melbourne Flinders Street,Very good,"1,766 reviews",8.4,Show on map
Carlton Lygon Lodge,9.3,885 reviews,7.9,"Melbourne CBD, Melbourne"
Plum Serviced Apartments Carlton,Superb,630 reviews,6.2,Show on map
City Square Motel,8.4,"1,874 reviews",6.8,"Melbourne CBD, Melbourne"
Crest on Barkly Hotel,Very good,894 reviews,6.7,Show on map
IMSA Group,7.9,163 reviews,7.7,"Carlton, Melbourne"
Waterfront Melbourne Apartments,Good,556 reviews,8.5,Show on map
Quest Brighton on the Bay,6.2,547 reviews,8.4,"Carlton, Melbourne"
Quest Jolimont,Review score,535 reviews,8.6,Show on map
Punthill Apartment Hotel - Flinders Lane,6.8,"1,073 reviews",7.8,"Melbourne CBD, Melbourne"
Milano Serviced Apartments,Review score,"1,706 reviews",6.8,Show on map
Naughtons Hotel,6.7,712 reviews,8.5,"St Kilda, Melbourne"
Coppersmith Hotel,Review score,302 reviews,8.7,Show on map
Corporate Living Accommodation Hawthorn,7.7,452 reviews,8.1,"Southbank, Melbourne"
The Glenferrie Hotel Hawthorn,Good,393 reviews,8.7,Show on map
Seasons Botanic Gardens,8.5,"1,129 reviews",7.6,"Docklands, Melbourne"
City Edge East Melbourne Apartment Hotel,Very good,"1,238 reviews",5.0,Show on map
Le Méridien Melbourne,8.4,188 reviews,8.8,"Brighton, Melbourne"
City Edge on Elizabeth Apartment Hotel,Very good,179 reviews,5.1,Show on map
The Westin Melbourne,8.6,856 reviews,8.8,"East Melbourne, Melbourne"
Quest Preston,Fabulous,766 reviews,8.9,Show on map
Melbourne CBD Central Apartment Hotel,7.8,718 reviews,6.8,"Melbourne CBD, Melbourne"
Port Royal Hotel,7.4,"3,388 reviews",7.4,"5th arr., Paris"
Sonder Quintinie,Good,289 reviews,8.5,Show on map
Grand Hotel Francais,8.5,641 reviews,8.5,"15th arr., Paris"
Best Western Ronceray Opéra,Very good,"1,104 reviews",7.7,Show on map
HotelF1 Paris Saint Ouen Marché Aux Puces,8.5,"12,821 reviews",6.3,"11th arr., Paris"
Hôtel Hélios Opéra,Very good,938 reviews,8.3,Show on map
Hotel Eden Montmartre,7.7,"1,465 reviews",7.9,"9th arr., Paris"
Hôtel de Banville,Good,"1,293 reviews",8.8,Show on map
citizenM Paris Gare de Lyon,6.3,"9,878 reviews",8.3,"18th arr., Paris"
Hotel CIS Paris Kellermann,Review score,"5,444 reviews",7.3,Show on map
B&B HOTEL Paris 17 Batignolles,8.3,"11,488 reviews",7.9,"9th arr., Paris"
Hôtel Kabanel,Very good,"2,076 reviews",7.5,Show on map
Arian Hôtel,7.9,"1,206 reviews",7.6,"18th arr., Paris"
"Holiday Inn Paris Montmartre, an IHG Hotel",Good,936 reviews,8.3,Show on map
Mode Paris Aparthotel,8.8,224 reviews,9.0,"17th arr., Paris"
Hôtel L de Lutèce,Fabulous,604 reviews,8.4,Show on map
Hôtel De l'Arcade,8.3,"1,205 reviews",8.3,"12th arr., Paris"
Dauphine Saint Germain,Very good,967 reviews,7.9,Show on map
Comfort Hotel Nation Père Lachaise,7.3,"1,401 reviews",6.9,"13th arr., Paris"
D'win,Good,"1,473 reviews",7.7,Show on map
Hôtel Aston,7.9,"2,713 reviews",7.6,"17th arr., Paris"
Hotel Minerve,Good,"2,293 reviews",8.3,Show on map
Best Western Plus 61 Paris Nation Hotel,7.5,"1,468 reviews",7.6,"10th arr., Paris"
Hotel Armoni Paris,Good,"1,772 reviews",8.1,Show on map
Hôtel Des Arts-Bastille,7.6,"2,408 reviews",7.9,"13th arr., Paris"
Best Western Allegro Nation,Good,"1,695 reviews",7.8,Show on map
Hotel des Vosges,8.0,"1,192 reviews",8.0,"20th arr., Paris"
Hotel Mimosa Paris,Very good,"1,726 reviews",7.4,Show on map
Nouvel Hôtel Eiffel,7.4,"1,038 reviews",7.9,"10th arr., Paris"
Hotel The Playce by Happyculture,Good,"2,137 reviews",7.7,Show on map
Hotel le 18 Paris,7.9,"1,615 reviews",7.8,"15th arr., Paris"
Best Western Plus Opéra Batignolles,Good,"1,192 reviews",8.0,Show on map
Hôtel Belloy Saint Germain,7.7,622 reviews,8.0,"18th arr., Paris"
Hôtel Beauquartier Moulin Rouge - Ex goldhotel,Good,235 reviews,7.9,Show on map
Hotel Zora,7.8,759 reviews,8.4,"18th arr., Paris"
Alberte Hôtel,Good,83 reviews,9.3,Show on map
Hotel de Nesle,8.0,"1,111 reviews",7.7,"17th arr., Paris"
Au Pacific Hotel,Very good,"3,330 reviews",8.0,Show on map
Hotel Campanile Paris-Bercy Village,8.0,"6,459 reviews",7.9,"6th arr., Paris"
OKKO Hotels Paris Rosa Parks,Very good,335 reviews,8.1,Show on map
Hotel Chavanel,7.9,182 reviews,8.4,"9th arr., Paris"
VLH Montparnasse Eiffel,Good,405 reviews,7.5,Show on map
Le Pavillon des Lettres,8.4,464 reviews,8.8,"2nd arr., Paris"
Hotel Cervantes by Happyculture,Very good,"1,356 reviews",8.5,Show on map
Hotel Puy De Dôme,9.3,"1,532 reviews",8.0,"7th arr., Paris"
citizenM Paris Champs-Élysées,Superb,"2,505 reviews",8.5,Show on map
Hotel de l'Aqueduc,7.7,"3,538 reviews",7.2,"6th arr., Paris"
Virgina,Good,"2,800 reviews",8.3,Show on map
Hotel Abbatial Saint Germain,8.0,"3,408 reviews",8.5,"15th arr., Paris"
Apollinaire,Very good,"1,825 reviews",8.2,Show on map
Bonséjour Montmartre,7.9,575 reviews,7.6,"12th arr., Paris"
Zoku Paris,9.0,572 reviews,9.0,"17th arr., Paris"
Relais Bergson,Superb,"1,009 reviews",7.5,Show on map
Adagio Paris 19ème Cité de la Musique,7.5,"1,533 reviews",7.5,"19th arr., Paris"
Hotel Ekta Champs Elysées,Good,"1,292 reviews",8.8,Show on map
Hotel Aulivia Opéra,7.5,975 reviews,8.0,"19th arr., Paris"
Hôtel du Mont Blanc,Good,"2,596 reviews",7.4,Show on map
Hôtel Fougère,8.8,161 reviews,9.3,"8th arr., Paris"
Hôtel 15 Montparnasse,Fabulous,622 reviews,8.3,Show on map
Hôtel Soft,8.0,"1,477 reviews",7.6,"10th arr., Paris"
Lennon Hotel Paris Gare du Nord,Very good,"1,733 reviews",7.4,Show on map
Hotel Choiseul Opera,7.4,"4,581 reviews",8.4,"5th arr., Paris"
Hôtel Elixir,Good,"1,325 reviews",7.7,Show on map
Hotel Pax Opera,9.3,"1,651 reviews",7.4,"6th arr., Paris"
Hôtel Eiffel Rive Gauche,Superb,"2,880 reviews",7.6,Show on map
Montparnasse Daguerre,8.3,"1,743 reviews",8.0,"15th arr., Paris"
ibis Budget Paris Nord 18ème,Very good,"3,298 reviews",6.9,Show on map
Mama Shelter Paris East,7.6,"1,487 reviews",8.0,"10th arr., Paris"
Hotel Ares Eiffel,Good,"1,357 reviews",8.3,Show on map
Solar Hotel,7.4,"1,111 reviews",7.9,"10th arr., Paris"
Hotel Opéra Opal,Good,811 reviews,8.4,Show on map
Odeon Hotel by Malone,8.4,"1,187 reviews",8.4,"2nd arr., Paris"
Hôtel Eiffel Saint Charles,Very good,"1,493 reviews",8.9,Show on map
Best Western Opéra Faubourg,7.7,"1,853 reviews",7.8,"1st arr., Paris"
L'Adresse,Good,899 reviews,7.2,Show on map
Hotel Vacances Bleues Provinces Opera,7.4,"4,199 reviews",8.2,"9th arr., Paris"
Maison Malesherbes,8.6,531 reviews,8.6,"8th arr., Paris"
Best Western Plus Hotel Sydney Opera,Fabulous,"1,473 reviews",9.0,Show on map
Hôtel R de Paris - Boutique Hotel,9.0,676 reviews,8.7,"8th arr., Paris"
Midnight Hotel Paris,Superb,"1,053 reviews",7.1,Show on map
Balmoral Champs Elysées,8.7,415 reviews,8.4,"9th arr., Paris"
Hotel 10 Opéra by HappyCulture,Fabulous,"1,737 reviews",8.2,Show on map
Helussi Hôtel,7.1,"1,028 reviews",8.8,"10th arr., Paris"
Hotel Dadou Paris,Good,811 reviews,8.9,Show on map
Hotel Monceau Wagram,8.4,"1,371 reviews",7.3,"17th arr., Paris"
Hôtel du Roussillon,Very good,804 reviews,7.4,Show on map
Abaca Messidor by Happyculture,8.2,"2,799 reviews",8.0,"9th arr., Paris"
"Holiday Inn Paris Gare de l'Est, an IHG Hotel",Very good,"5,537 reviews",7.6,Show on map
Hotel Esmeralda,8.8,838 reviews,7.7,"9th arr., Paris"
Pavillon Monceau,Fabulous,"1,610 reviews",7.9,Show on map
Albert's Hotel,8.9,895 reviews,8.0,"17th arr., Paris"
Hotel du Chemin Vert,Fabulous,"1,924 reviews",7.7,Show on map
Mercure Paris Gare Montparnasse TGV,7.3,"7,343 reviews",7.7,"17th arr., Paris"
Pullman Paris Montparnasse,Good,"1,885 reviews",8.5,Show on map
OKKO Hotels Paris Gare de l'Est,7.4,"2,853 reviews",8.3,"13th arr., Paris"
Hotel Ducs de Bourgogne,Good,923 reviews,9.0,Show on map
Classics Hotel Bastille,8.0,"1,522 reviews",7.8,"15th arr., Paris"
Hôtel Madison,Very good,499 reviews,8.7,Show on map
55 Hôtel Montparnasse,7.6,"1,879 reviews",7.7,"10th arr., Paris"
R. Kipling by Happyculture,Good,"1,183 reviews",7.6,Show on map
Cactus,7.7,"1,216 reviews",7.1,"5th arr., Paris"
Vice Versa,7.8,618 reviews,7.8,"15th arr., Paris"
Hotel de la Bretonnerie,Good,626 reviews,8.1,Show on map
Hotel Hippodrome,8.1,533 reviews,7.6,"4th arr., Paris"
Hôtel du Cygne Paris,Very good,"1,260 reviews",7.9,Show on map
Hôtel Saint Pierre,7.6,"2,537 reviews",7.4,"18th arr., Paris"
Hotel Vignon,Good,918 reviews,8.3,Show on map
Pullman Paris Tour Eiffel,7.9,"5,736 reviews",8.3,"1st arr., Paris"
Hôtel AMI - Orso Hotels,Good,996 reviews,8.5,Show on map
Color Design Hotel,7.4,"1,332 reviews",7.1,"6th arr., Paris"
Hôtel Gustave,Good,"1,371 reviews",8.7,Show on map
Hotel Best Western Anjou Lafayette,8.3,"1,111 reviews",8.1,"8th arr., Paris"
Hotel Le Clos d'Alésia,Very good,"1,175 reviews",7.1,Show on map
Hotel De La Cite Rougemont,8.3,"1,725 reviews",8.1,"15th arr., Paris"
Pink Hotel,Very good,"1,019 reviews",8.1,Show on map
"The Originals Boutique, Hôtel Maison Montmartre, Paris",8.5,"3,613 reviews",7.7,"15th arr., Paris"
Artemisia Montmartre,Very good,22 reviews,9.1,Show on map
Chalgrin Boutique Hotel,7.1,"1,278 reviews",8.1,"12th arr., Paris"
Hôtel de la Tour Eiffel,Good,"1,283 reviews",7.3,Show on map
Waldorf Montparnasse,8.7,"1,604 reviews",8.1,"15th arr., Paris"
Hotel Louvre Montana,Fabulous,587 reviews,8.9,Show on map
Hotel Bellevue Montmartre,8.1,800 reviews,7.1,"9th arr., Paris"
Le Petit Cosy Hôtel,Very good,"1,107 reviews",8.4,Show on map
Hôtel Avama Prony,7.1,836 reviews,7.9,"14th arr., Paris"
Prince Monceau,Good,"1,136 reviews",7.1,Show on map
Hôtel Montholon,8.1,463 reviews,7.8,"9th arr., Paris"
Royal Garden Champs-Élysées,7.8,"1,601 reviews",7.8,"8th arr., Paris"
Hotel Belfort,Good,"1,136 reviews",7.8,Show on map
Hotel Left Bank Saint Germain,7.8,"1,024 reviews",8.7,"11th arr., Paris"
Nord Est Hotel,Good,"1,390 reviews",7.2,Show on map
MEININGER Hotel Paris Porte de Vincennes,8.7,"7,828 reviews",7.8,"6th arr., Paris"
Hôtel Léopold - Orso Hotels,Fabulous,"1,010 reviews",8.5,Show on map
Hotel des Bains,7.2,"1,549 reviews",7.6,"10th arr., Paris"
Hôtel des Beaux Arts,Good,98 reviews,7.6,Show on map
Hôtel D'Alsace,7.8,625 reviews,7.5,"12th arr., Paris"
Hôtel Hor Les Lumières,Good,"2,281 reviews",8.3,Show on map
Jack's Hotel,8.5,"1,142 reviews",8.0,"14th arr., Paris"
Hotel Du Cadran,Very good,744 reviews,8.5,Show on map
Hotel London,7.6,"1,897 reviews",7.7,"14th arr., Paris"
Appart'City Collection Paris Gare de Lyon,Good,118 reviews,8.8,Show on map
Hôtel de Genève,7.6,"1,966 reviews",7.4,"13th arr., Paris"
Hotel de France Invalides,Good,"1,408 reviews",7.8,Show on map
La Perle,7.5,"1,070 reviews",8.7,"10th arr., Paris"
Hôtel Odyssey by Elegancia,Good,"1,093 reviews",8.0,Show on map
Le Malown,8.3,"1,118 reviews",7.8,"11th arr., Paris"
PLEY Hotel,Very good,"1,302 reviews",8.3,Show on map
Hôtel Aiglon,8.0,"1,366 reviews",8.7,"13th arr., Paris"
ibis Paris Gare De L'Est TGV,Very good,"1,937 reviews",7.4,Show on map
Hôtel Gaston,8.5,979 reviews,8.1,"7th arr., Paris"
Exe Paris centre,Very good,"1,621 reviews",8.1,Show on map
Apollon Montparnasse,7.7,"1,827 reviews",7.9,"9th arr., Paris"
Novotel Paris Porte Versailles,8.5,"5,972 reviews",8.5,"15th arr., Paris"
Hotel Louvre Saint-Honoré,Very good,"1,051 reviews",8.2,Show on map
Austin's Saint Lazare Hotel,8.2,"2,266 reviews",8.1,"1st arr., Paris"
Serotel Lutèce,Very good,"2,274 reviews",8.5,Show on map
Vestay Montaigne,8.1,5 reviews,9.8,"9th arr., Paris"
Mercure Paris Bastille Marais,Very good,755 reviews,7.9,Show on map
Hotel Rochechouart - Orso Hotels,8.5,"1,572 reviews",8.5,"5th arr., Paris"
Arc de Triomphe Etoile,Very good,"1,395 reviews",8.1,Show on map
Best Western Aramis Saint Germain,9.8,"1,611 reviews",8.1,"8th arr., Paris"
B Montmartre,Exceptional,"2,411 reviews",8.9,Show on map
Hôtel d'Argenson,7.9,"2,407 reviews",8.4,"11th arr., Paris"
Amiral Hôtel,Good,"2,615 reviews",7.4,Show on map
Hôtel d'Orsay - Esprit de France,8.5,692 reviews,8.8,"9th arr., Paris"
L'Amiral,Very good,"1,395 reviews",8.3,Show on map
Parc Hotel,8.1,"1,050 reviews",7.6,"17th arr., Paris"
Hotel Orphée - Orso Hotels,Very good,"1,171 reviews",8.1,Show on map
Hotel de la Paix Tour Eiffel,8.1,860 reviews,8.3,"6th arr., Paris"
Hôtel Albert 1er,Very good,"1,029 reviews",7.8,Show on map
Hotel Viator - Gare de Lyon,8.9,"2,031 reviews",7.9,"17th arr., Paris"
ibis Paris Nation Davout,Fabulous,49 reviews,7.7,Show on map
Hôtel Albe Saint Michel,8.4,"3,146 reviews",8.5,"8th arr., Paris"
Doisy Etoile - Orso Hotels,Very good,642 reviews,8.1,Show on map
Hôtel Galileo Champs Elysées,7.4,"1,662 reviews",8.5,"13th arr., Paris"
Star Champs-Elysées,Good,600 reviews,8.7,Show on map
Hôtel Beauregard,8.8,345 reviews,8.4,"7th arr., Paris"
Hôtel Madeleine Plaza,8.1,849 reviews,8.1,"8th arr., Paris"
ibis Styles Paris Bercy,Very good,"7,947 reviews",7.4,Show on map
COQ Hotel Paris,7.4,"1,685 reviews",8.9,"12th arr., Paris"
Hôtel Botaniste,Good,730 reviews,8.5,Show on map
Hôtel Brittany,8.9,261 reviews,8.5,"13th arr., Paris"
Cler Hotel,Fabulous,"1,042 reviews",8.8,Show on map
Golden Tulip Opera de Noailles,8.5,"1,780 reviews",8.4,"16th arr., Paris"
Maison Albar Hotels Le Champs-Elysées,Very good,390 reviews,8.2,Show on map
Hôtel Wallace - Orso Hotels,8.5,568 reviews,8.6,"9th arr., Paris"
Hôtel Elysées Paris,Very good,"1,390 reviews",7.4,Show on map
Hôtel des Buttes Chaumont,8.8,548 reviews,7.1,"7th arr., Paris"
"Holiday Inn Paris - Gare de Lyon Bastille, an IHG Hotel",Fabulous,"2,343 reviews",8.5,Show on map
Hotel Le Friedland,8.4,787 reviews,8.5,"2nd arr., Paris"
Hotel Restaurant Au Boeuf Couronné,Very good,"1,808 reviews",8.4,Show on map
Exe Panorama,8.2,"1,798 reviews",8.2,"17th arr., Paris"
"Hôtel Littéraire Arthur Rimbaud, BW Signature Collection",Very good,"1,414 reviews",8.0,Show on map
Hôtel Mistral,8.6,549 reviews,8.7,"15th arr., Paris"
Arc Elysées,Fabulous,"1,010 reviews",7.5,Show on map
Art Hotel Eiffel,7.4,"1,826 reviews",8.2,"17th arr., Paris"
Hotel Eiffel Blomet,Good,"2,404 reviews",8.7,Show on map
Hotel Mirabeau Eiffel,7.1,"1,219 reviews",7.0,"19th arr., Paris"
Laz' Hotel Spa Urbain Paris,Good,"1,247 reviews",8.6,Show on map
Hotel Monsieur Helder,8.5,651 reviews,8.1,"12th arr., Paris"
Hôtel Edgar & Achille,Very good,761 reviews,8.1,Show on map
Pavillon Opéra Grands Boulevards,8.5,492 reviews,7.4,"8th arr., Paris"
Hotel Nation Montmartre,6.3,65 reviews,6.3,"18th arr., Paris"
Hotel Claude Bernard Saint-Germain,Review score,"1,252 reviews",7.8,Show on map
Le Quartier Bercy-Square,7.8,"3,190 reviews",8.3,"5th arr., Paris"
Chatillon Paris Montparnasse,Good,"1,302 reviews",8.1,Show on map
Aparthotel Adagio Paris Bercy Village,8.3,"1,750 reviews",7.8,"12th arr., Paris"
Georgette Hôtel & Restaurant,Very good,744 reviews,8.3,Show on map
HOTEL PRINCE DE CONTI,8.1,244 reviews,7.6,"14th arr., Paris"
Le Tsuba Hotel,Very good,"1,359 reviews",8.8,Show on map
Hôtel Le Cercle Tour Eiffel,7.8,"1,234 reviews",8.6,"12th arr., Paris"
Hôtel Saint-André des Arts,Good,785 reviews,8.7,Show on map
Paris Marriott Champs Elysees Hotel,8.3,392 reviews,7.3,"3rd arr., Paris"
hotelF1 Paris Porte de Châtillon,Very good,"12,573 reviews",7.2,Show on map
Hôtel De Nice,7.6,"1,563 reviews",8.1,"6th arr., Paris"
Hôtel Arvor Saint Georges,Good,762 reviews,8.4,Show on map
Mercure Paris Gare de l'Est,8.8,"1,105 reviews",7.9,"17th arr., Paris"
"voco Paris Montparnasse, an IHG Hotel",Fabulous,"3,201 reviews",8.3,Show on map
Warwick Paris (Former Warwick Champs-Elysees),8.6,"1,805 reviews",7.0,"7th arr., Paris"
Mercure Paris Centre Tour Eiffel,Fabulous,"4,068 reviews",7.4,Show on map
Le Pigalle Hotel,8.7,830 reviews,8.8,"6th arr., Paris"
Kyriad Paris 18 - Porte de Clignancourt - Montmartre,Fabulous,"3,699 reviews",8.1,Show on map
Hotel Camille Paris Tapestry Collection by Hilton,7.3,169 reviews,8.0,"8th arr., Paris"
"Holiday Inn Paris-Auteuil, an IHG Hotel",Good,"1,175 reviews",8.6,Show on map
Best Western Plus La Demeure,7.2,"1,165 reviews",8.2,"14th arr., Paris"
Hôtel Eden Opéra,Good,752 reviews,8.2,Show on map
Hotel d'Espagne,8.1,"1,362 reviews",8.0,"4th arr., Paris"
Sheraton Miyako Hotel Tokyo,8.1,240 reviews,8.1,"Minato, Tokyo"
APA Hotel Keikyu Kamata-Ekimae,Very good,998 reviews,8.5,Show on map
APA Hotel Kamata-Ekimae,8.5,461 reviews,7.9,"Ota Ward, Tokyo"
Bay Hotel Tokyo Hamamatsucho,Very good,"1,832 reviews",8.1,Show on map
APA Hotel Akihabara-Ekimae,7.9,"1,096 reviews",7.7,"Ota Ward, Tokyo"
Hotel Amanek Ginza East,Good,504 reviews,7.9,Show on map
Mitsui Garden Hotel Jingugaien Tokyo Premier,8.1,"6,420 reviews",8.8,"Minato, Tokyo"
APA Hotel Shibuya Dogenzakaue,Very good,"1,797 reviews",7.4,Show on map
Sotetsu Fresa Inn Ueno-Okachimachi,7.7,"1,827 reviews",8.3,"Chiyoda, Tokyo"
Centurion Hotel Ikebukuro Station,Good,"1,225 reviews",7.7,Show on map
HOTEL MYSTAYS Higashi Ikebukuro,7.9,751 reviews,8.1,"Chuo Ward, Tokyo"
HOTEL TAVINOS ASAKUSA,Good,999 reviews,8.0,Show on map
HOTEL MYSTAYS Kamata,8.8,667 reviews,8.1,"Shinjuku Ward, Tokyo"
Hotel Listel Shinjuku,Fabulous,728 reviews,7.4,Show on map
Ginza Creston,7.4,825 reviews,8.4,"Shibuya Ward, Tokyo"
Wander Tokyo Shibuya,Good,150 reviews,8.2,Show on map
Imperial Hotel Tokyo,8.3,642 reviews,9.0,"Taito, Tokyo"
Sakura Hotel Hatagaya,Very good,757 reviews,7.2,Show on map
Richmond Hotel Asakusa,7.7,613 reviews,8.5,"Toshima, Tokyo"
La Vista Tokyo Bay,Good,572 reviews,8.5,Show on map
Tabist Ginza,8.1,659 reviews,7.6,"Toshima, Tokyo"
Hotel Coco Grand Kitasenju,Very good,610 reviews,8.3,Show on map
Prince Smart Inn Ebisu,8.0,518 reviews,8.1,"Taito, Tokyo"
Keisei Richmond Hotel Tokyo Kinshicho,Very good,483 reviews,8.7,Show on map
Centurion Hotel&Spa Ueno Station,8.1,"1,044 reviews",7.6,"Ota Ward, Tokyo"
MOXY Tokyo Kinshicho,8.6,52 reviews,8.6,"Sumida Ward, Tokyo"
Dai-ichi Hotel Ryogoku,Fabulous,"2,017 reviews",8.1,Show on map
APA Hotel Ochanomizu-Ekikita,8.1,"1,527 reviews",7.7,"Sumida Ward, Tokyo"
Hotel Kazusaya,Very good,791 reviews,8.7,Show on map
Restay Frontier (Adult Only),7.7,407 reviews,7.6,"Bunkyo, Tokyo"
Rhodes Otsuka - Vacation STAY 33199v,Good,1 review,8.0,Show on map
Hotel Trend Tobu Asakusa-Eki Kita,8.7,635 reviews,7.9,"Chuo Ward, Tokyo"
KAIKA TOKYO by THE SHARE HOTELS,Fabulous,"2,854 reviews",8.9,Show on map
Tabist Hotel Momiji Asakusa,7.6,153 reviews,7.6,"Toshima, Tokyo"
Sotetsu Fresa Inn Tokyo Kanda,Good,"1,456 reviews",8.3,Show on map
Rhodes Otsuka Hotel,8.0,70 reviews,6.7,"Toshima, Tokyo"
Hotel New Tohoku,Very good,593 reviews,7.1,Show on map
Belmont Hotel,7.9,310 reviews,7.6,"Taito, Tokyo"
Shibuya Stream Excel Hotel Tokyu,Good,"1,392 reviews",8.7,Show on map
The Share Hotels Lyuro Tokyo Kiyosumi,8.9,"1,552 reviews",8.7,"Sumida Ward, Tokyo"
Hotel Grand Arc Hanzomon,Fabulous,"1,236 reviews",8.6,Show on map
Hotel Villa Fontaine Tokyo-Jimbocho,7.6,597 reviews,7.8,"Taito, Tokyo"
Agora Place Tokyo Asakusa,Good,"2,989 reviews",7.7,Show on map
Rembrandt Style Tokyo Nishikasai Grande,8.3,"2,094 reviews",8.2,"Chiyoda, Tokyo"
Super Hotel Tokyo JR Kamata Nishiguchi,Very good,234 reviews,8.2,Show on map
HOTEL Q,6.7,565 reviews,7.2,"Toshima, Tokyo"
Asakusa View Hotel,Review score,"2,231 reviews",8.2,Show on map
Outlet Hotel UenoEkimae,7.1,"1,008 reviews",7.9,"Taito, Tokyo"
Hotel Villa Fontaine Tokyo-Kayabacho,Good,440 reviews,7.6,Show on map
Keio Presso Inn Nihonbashi Kayabacho,7.6,623 reviews,7.8,"Taito, Tokyo"
APA Hotel Shimbashi Toranomon,7.4,"1,123 reviews",7.4,"Minato, Tokyo"
Randor Residence Tokyo Suites,Good,510 reviews,7.5,Show on map
Hotel Villa Fontaine Grand Tokyo-Tamachi,7.5,"1,026 reviews",8.3,"Arakawa, Tokyo"
Hotel Vintage Kagurazaka Tokyo,Good,421 reviews,8.8,Show on map
THE AOYAMA GRAND HOTEL,8.3,379 reviews,9.3,"Minato, Tokyo"
Hotel Plaisir Akihabara,Very good,282 reviews,5.5,Show on map
Ano Hotel Asakusa,8.8,464 reviews,7.8,"Shinjuku Ward, Tokyo"
"COB HOTEL ASAKUSA Theater rooms ,ex Hotel KOH Asakusa",Fabulous,346 reviews,7.6,Show on map
APA Hotel Tokyo Kudanshita,9.3,"1,999 reviews",7.5,"Minato, Tokyo"
Randor Residence Tokyo Classic,Superb,146 reviews,7.2,Show on map
Shinjuku East Hotel,5.5,710 reviews,6.9,"Chiyoda, Tokyo"
Sotetsu Fresa Inn Shimbashi-Karasumoriguchi,Review score,"1,779 reviews",8.0,Show on map
Hotel Emir,7.8,228 reviews,8.2,"Sumida Ward, Tokyo"
stayme THE HOTEL Asakusa Riverside,Good,419 reviews,7.9,Show on map
APA Hotel Nihombashi Bakurocho Ekimae,7.6,"1,289 reviews",8.4,"Taito, Tokyo"
HOTEL & SPA J-MEX Shinjuku Kabukicho (Adult Only),Good,194 reviews,8.7,Show on map
Dormy Inn Express Meguro Aobadai Hot Spring,7.5,266 reviews,8.1,"Chiyoda, Tokyo"
Haneda Excel Hotel Tokyu,Good,"3,380 reviews",8.2,Show on map
C＆Jホテル,7.2,323 reviews,8.3,"Arakawa, Tokyo"
Tokyu Stay Shinjuku,Good,"1,838 reviews",8.5,Show on map
HOTEL MYSTAYS Ochanomizu Conference Center,6.9,816 reviews,8.1,"Shinjuku Ward, Tokyo"
HOTEL LiVEMAX Tokyo Ayase-Ekimae,Review score,489 reviews,6.7,Show on map
Act Hotel Roppongi,8.0,"1,000 reviews",8.1,"Minato, Tokyo"
APA Hotel & Resort Nishishinjuku-Gochome-Eki Tower,Very good,"1,439 reviews",8.1,Show on map
Keisei Richmond Hotel Tokyo Oshiage,8.2,712 reviews,9.1,"Taito, Tokyo"
浅草吉居ASAKUSA YOSHII,7.4,276 reviews,7.4,"Taito, Tokyo"
Forest Hongo by unito,Good,135 reviews,8.1,Show on map
Hotel Crown Hills Ueno Premier,8.1,"1,207 reviews",8.1,"Bunkyo, Tokyo"
HOTEL LiVEMAX Nihonbashi Koamicho,Very good,346 reviews,6.9,Show on map
Smile Hotel Tokyo Nishikasai,8.1,"1,119 reviews",6.7,"Taito, Tokyo"
The Royal Park Canvas Ginza Corridor,Very good,"1,003 reviews",8.5,Show on map
Tabata Oji Hotel,6.9,710 reviews,6.9,"Chuo Ward, Tokyo"
karaksa hotel premier Tokyo Ginza,Review score,"1,707 reviews",9.1,Show on map
The Gate Hotel Ryogoku by Hulic,6.7,"1,907 reviews",9.0,"Edogawa, Tokyo"
MARUKOU HOTEL,Review score,11 reviews,8.5,Show on map
APA Hotel Nihombashi Bakuroyokoyama Ekimae,8.5,889 reviews,8.3,"Chuo Ward, Tokyo"
Hilton Tokyo Hotel,Very good,769 reviews,8.3,Show on map
GreenHotel,6.9,559 reviews,7.3,"Kita, Tokyo"
Super Hotel Premier Ikebukuro Natural Hot Spring,Review score,245 reviews,8.5,Show on map
Tabist Urban Stays Asakusa,9.1,936 reviews,7.8,"Minato, Tokyo"
Far East Village Hotel Tokyo Ariake,Superb,"2,643 reviews",8.1,Show on map
BnA WALL,9.0,774 reviews,8.7,"Sumida Ward, Tokyo"
LOF HOTEL Shimbashi,Superb,"1,361 reviews",8.1,Show on map
HOTEL AMANEK Shinjuku Kabukicho,8.5,736 reviews,8.2,"Taito, Tokyo"
N Plus Hotel Akihabara,Very good,177 reviews,8.5,Show on map
APA Hotel Nihombashi Bakurocho Eki-Kita,8.3,890 reviews,8.3,"Chuo Ward, Tokyo"
Smile Hotel Sugamo,Very good,531 reviews,7.5,Show on map
Sotetsu Fresa Inn Higashi Shinjuku,8.3,"2,463 reviews",8.2,"Shinjuku Ward, Tokyo"
Designers Hotel Siesta,Very good,445 reviews,8.3,Show on map
Mitsui Garden Hotel Ginza-gochome,7.3,"1,938 reviews",8.5,"Taito, Tokyo"
APA Hotel Komagome Ekimae,8.0,"1,305 reviews",8.0,"Toshima, Tokyo"
